Title,Views,Upload_Date,Likes,Comments,Description
"2080, in 6 minutes | The Nepali Comment",108165,2024-04-20,5903,327,"As we head into 2081, let’s look back at some of the stories that defined 2080.    
                                                  
It was a year of remarkable political shifts as new faces emerged onto the Nepali political landscape. Scandalous corruption controversies captured headlines, while the Prime Minister's diplomatic visits to India, the USA, and China marked key milestones in international relations. Additionally, Nepali sports achieved new heights on the global stage.

 However, amidst these victories, there were also moments of disruption, notably the ban on the popular social media app TikTok.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Rijan Maharjan ( https://www.facebook.com/rijan.maharjan.0528 )

Edited by: 
Dungrey (https://www.instagram.com/khadka__ajay/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
How This Nepali Cyclist Traveled The World On Just Rs 100,117998,2024-04-16,4289,182,"Puskar Shah had an impossible dream - to explore the world on his cycle, starting with just Rs. 100 in his pocket and no connections. Against all odds, this resilient Nepali adventurer defied skepticism and uncertainty to embark on an awe-inspiring journey, fueled by his undying passion for adventure and discovery. In this video, witness Puskar's remarkable story of courage and resilience as he traversed the globe on his trusty bicycle, facing challenges most of us can barely imagine but never letting his unwavering determination waver. An extraordinary tale of a regular guy who dared to pursue his dreams against all odds, showing us what true grit and passion can achieve. You don't want to miss this incredible story of human spirit.


Ultima Lifestyle: https://ultima.com.np/

Sources:https://docs.google.com/document/d/1zfymQIhAmWOK3AOUPH7K-Z_wodBV41PYT-tMP6yQzqg/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35. ]
If you are on Twitter: [https://twitter.com/NepaliComment ]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/ ]


Research by:
Parash Bikram Khadka (https://instagram.com/parashbikramk/ )

Edited by: 
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali /)"
What can Nepal do in WW3?,208485,2024-04-06,7544,461,"As tensions escalate on the global stage, the possibility of World War 3 looms large, prompting discussions on the roles various nations might play. In this insightful video, we delve into the potential scenarios of World War 3 and analyze Nepal's stance amidst the chaos.

Join us as we explore the factors that could lead to a global conflict, including territorial disputes, ideological clashes, and resource competition. We'll examine the major alliances that might form, considering which countries could align with whom and the implications of such alliances.

In the midst of this uncertainty, we take a closer look at Nepal's geopolitical position and evaluate its strategic options. Will Nepal choose neutrality, or will it be compelled to take sides? What factors would influence Nepal's decision-making process in such a critical juncture?

Through careful analysis and informed speculation, we aim to shed light on the complex dynamics of global politics and provide insights into Nepal's potential role in the event of World War 3. Join the conversation and share your thoughts on what lies ahead for Nepal and the world in this turbulent era.

Ultima Lifestyle: https://ultima.com.np/

Sources: https://docs.google.com/document/d/1GASZuj_v63Z5KdieISGGT1a8JHGk_MIhpkKHWpfubxw/edit?usp=sharing


Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: 
Sudeep: https://www.instagram.com/zzerggz?igsh=MTJ6NnA4Z2ExajAxYQ==

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
1:06 Russia-Ukraine Crisis
02:21 NATO vs Russia
04:24 Ultime Lifestyle
5:16 USA vs China
06:34 Taiwan
07:41 Semiconductor War
12:08 The Teams
14:54 Nepal Situation"
The Misunderstood Life of Devkota | The Nepali Comment,429333,2024-03-31,13843,378,"Delve into the intricate tapestry of one of Nepal's most revered literary figures in ""The Misunderstood Life of Devkota."" This captivating video explores the enigmatic journey of Laxmi Prasad Devkota, a poetic genius whose life was as tumultuous as it was brilliant. Despite his unparalleled talent for verse, Devkota was unjustly labeled a madman. Yet, behind the veil of misunderstanding lay a profound intellect and a soul aflame with creativity. In this illuminating video, we unravel the layers of Devkota's life, shedding light on the man behind the myth. 

Karobar App: https://qwik.one/karobar/

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Parash Bikram Khadka (https://instagram.com/parashbikramk/)

Edited by: 
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
62/63 JanaAndolan (Full Story) The Nepali Comment,560787,2024-03-25,6922,649,"Discover the historic 62/63 Revolution of Nepal, in which Maoists and seven political parties united against the autocratic monarchy under King Gyanendra's rule. This monumental movement ended the monarchy, paving the way for a new democratic Nepal. Yet, two decades on, doubts linger. Join us as we examine the revolution's impact and question its direction and legacy.

Sources: https://docs.google.com/document/d/1VXni3wy9e-tRDr5M9h2lj7PdMAD1ePE9fYJHGtYcmSs/edit?usp=sharing

Bysst Music: https://bysstmusic.com
https://app.bysstmusic.com/login
Instagram:  
https://www.instagram.com/bysstmusic/


Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
The Conflicting Life of Biplav | The Nepali Comment,325745,2024-03-19,7470,342,"Netra Bikram Chand, also known as Biplav, emerged as a prominent figure among former Maoist fighters in Nepal following the decade-long civil war. Unlike some of his counterparts, such as Prachanda, who transitioned to peaceful politics, Biplav and his followers persisted with violent tactics, including bombings of public spaces, instigating strikes, harassing officials, and preparing for potential civil unrest. Consequently, the government banned him, issued arrest warrants, and forced him to retreat from public view. However, following negotiations and an agreement, the government has since pardoned him. Despite this, there remains concern that he could revert to violent methods at any time. This is the conflicting life of Biplav. 

Source: 
https://docs.google.com/document/d/13MB3aK5a4AGfCEXJ_utgXxLfxdEVs01h7Po09icwH8s/edit?usp=sharing

Worldlink: https://worldlink.com.np/internet-plans/residential-broadband/
Coupon Code: ""TNC50""; Exclusive 10% off for first 50 
Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Parash Bikram Khadka (https://instagram.com/parashbikramk/)
Edited by:  Ankit Gautam (https://www.instagram.com/ankitgautam.12/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
Jung Bahadur Rana vs India: A Historic Battle,326140,2024-03-05,7643,447,"Join us as we delve into a lesser-known aspect of the Indian Mutiny of 1857-58, a pivotal moment in India's struggle against British colonial rule. In this video, we uncover the intriguing story of how the ruler of Nepal, Jung Bahadur, played a significant role in aiding the British East India Company in suppressing the rebellion.

As the Indian Sepoys rose up against their colonial oppressors, the British faced a formidable challenge. However, their task was made easier with the unexpected assistance of Jung Bahadur, a staunch ally of the British Empire. His timely support proved instrumental in the British effort to quell the uprising and retain control over India.

Yet, the extent of Jung Bahadur's involvement goes beyond mere assistance. In a controversial move, he and his troops were granted a free license to raid and plunder the city of Lucknow, resulting in what came to be known as the ""Lucknow Loot."" This event not only saw the acquisition of vast riches but also witnessed horrifying atrocities committed by Jung Bahadur's forces.

Source: https://docs.google.com/document/d/1NdGxCMWGj-57kmulc244lfeXaIpFGnTB_X43nm_aJXM/edit?usp=sharing

Worldlink Android TV: https://worldlink.com.np/nettv-streamz-best-android-tv-box-in-nepal/
Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: 
https://www.instagram.com/ankitgautam.12/

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
How Nepal Police Caught Charles Sobraj | The Nepali Comment,741693,2024-02-27,19302,330,"Charles Sobraj was one of the most notorious criminals of the 20th century, wanted for murders across four continents. His intellectual brilliance and cunning allowed him to evade justice for years, earning him the monikers ""The Serpent"" and ""The Bikini Killer."" But what drove this man to become such a calculating monster? This video examines Sobraj's turbulent upbringing, his criminal career spanning the 1960s to the 1980s, and his psychopathic tactics that enabled him to deceive, manipulate and murder so many victims - until his web of lies finally began to unravel in Nepal, leading to his capture and imprisonment. Sobraj's shocking story provides a case study in the formation of a criminal mastermind, and a warning about the dark potential within even the most intelligent minds.

Worldlink Android TV: https://worldlink.com.np/nettv-streamz-best-android-tv-box-in-nepal/

Source: https://docs.google.com/document/d/1A2GQl3mBoXR44T7BOyAlFyA35_Hjgfr164W6w6SVB5w/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by:
Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
Nepal's Failing International Airport Projects,248042,2024-02-20,6625,399,"Expectations were sky-high when Nepal opened two new international airports in Pokhara and Bhairahawa. The government took on heavy loans from China to build the Pokhara International Airport as well as a loan from the Asian Development Bank for Gautam Buddha International Airport, hoping to attract tourists and foreign investment. But a year after opening, neither airport has seen regular international flights. Nepal's national carrier doesn't have enough planes and foreign airlines aren't interested. Now the country struggles to repay the massive loans while the airports remain largely unused. A classic case of how big dreams, mismanagement, and China's debt trap diplomacy led Nepal's impressive new infrastructure to the brink of failure.

Source: https://docs.google.com/document/d/1KlEiQq1upEO5fUKb3fvSBck0WtuehPCdBD4GMunIdo0/edit?usp=sharing
.
Karobar App: https://qwik.one/karobar/

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by:
Parash Bikram Khadka (https://instagram.com/parashbikramk/)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Video by Misguided Nepal: https://youtu.be/lMpaFQ-eVLQ?si=eUXPv0GuKDSvgp3p

Timestamp:
0:00 Intro
2:06 Pokhara International Airport
4:22 Karobar App
5:36 Something's Fishy
9:33 Gautam Buddha International Airport
12:05 Solution"
The Hidden Science of Love,127279,2024-02-14,6592,347,"There's hardly anyone who has not fallen in love. We have all experienced it. We blame our heart when in fact it is the brain that is behind it. When you are in love, a war is going on inside you. A war of hormones. From the initial attraction to the attachment to breakup. This is the Science of Love. 

Source: https://docs.google.com/document/d/1b6W5YhylHS-xCZGW4Go3ahI2tSA20BEoG7sSrI_Oi38/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Idea by: Sumit Adhikari(https://www.facebook.com/sumit.adhikari.9231?mibextid=ZbWKwL | https://www.facebook.com/sumit.adhikari.9231?mibextid=ZbWKwL)


Research by:
Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Ultima Lifestyle: https://ultima.com.np/

Timestamp:
0:00 Intro
1:25 Attraction
5:28 Ultima Lifestyle
6:42 Attachment
8:40 Breakup
11:00 Outro"
Road Accidents in Nepal are more DANGEROUS than you think,225633,2024-02-06,7618,221,"In Nepal,  Road Accidents take more lives annually than floods, landslides, plane crashes, and other accidents combined. Yet, it is also one of the most underreported and overlooked calamity in Nepal and without strong actions, it is going to be catastrophic.

Source: https://docs.google.com/document/d/1A5G_NjfgJW0KtCRxFP0ZjepkOhmcxkYANBPSqIZbIL4/edit?usp=sharing

If you are in need of a website or reliable hosting service, do check out : https://nestnepal.com/

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
The Untold Story of Martyrs of Nepal (EXTENDED Version),1411937,2024-01-30,27954,551,"Note: Last year we released a 3 part series on the life of Martyrs. This year we compiled those three part into one, added some new extra information and rereleasing it again, so that you can enjoy it in on full go.


87 years ago, a group of young men embarked on mission to fight against the most powerful family in Nepal, the ruling class of Rana Regime. After 4 years of struggle, they were caught. 500 of them were tortured and jailed. Among them, the four were given death penalty whom we now call the 4 Martyrs of Nepal. We talk about their death but do not talk about why they decided to fight against the Rana. How did they meet? How did they protest? Why were the Ranas so angered with them? All the answers in this video.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
Why Nepal needs to CANCEL Federalism,236743,2024-01-18,8237,428,"Nepal adopted Federalism after several long discussion, fight and protests. ""Gaun Gaun ma Singha Durbar"" was what the politician promised. But even after the completion of first term, Federalism isn't delivering results as it should. People have been calling out Federalism as too expensive, just a way to feed politician and many more. So, does Nepal really need Federalism, or will it even work? 

Source: https://docs.google.com/document/d/1ET19eFrkr_BffVFkUPMix9rOr9-DuqE3hXN9nJCWMJ8/edit?usp=sharing

Worldlink Beacon Router: https://bit.ly/TNCNokiabeacon

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by:
Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
1:51 Sponsored Segment
3:28 History Before federalism
5:00 Calls for federalism
7:15 Federalization process
9:10 Earthquake and unity
10:30 Nepal passes the constitution
11:22 Problems with federalism in Nepal 
15:53 Conclusion & the way forward"
Why Nepal needs to talk about S*X?,269225,2024-01-04,9890,317,"Nepal has dealt with several problems from rapid population growth to Sexually Transmitted Diseases(STD) like HIV/AIDS. While the usage of contraceptive devices has become common, the hesitation to talk about s*x and s*x education is still there and this could cause some massive issues. Here's why Nepal needs to talk about S*x. 

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)

Edited by: 
Dungrey (https://www.instagram.com/khadka__ajay/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Worldlink Beacon Router: https://bit.ly/TNCNokiabeacon"
The Two Faces of Nepal Army,400070,2023-12-31,11786,647,"Nepal Army is one of the most trusted institution in Nepal. Nepal Army works tirelessly to serve the country. From disaster rescue operation to the conservation of national parks, Nepal Army is always on the forefront to work for the country. But there is a different side to it as well, one that no one is comfortable talking about, a darker side of allegations, profit oriented and a game of commission. These are the two faces of Nepal Army.

Bysst Music: https://bysstmusic.com
https://app.bysstmusic.com/login
Instagram:  
https://www.instagram.com/bysstmusic/

Sources; https://docs.google.com/document/d/1uVaumKlPqwDVwLxNPsbFeguX7xf8VBVj_wI70Y8UThA/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by:
Rubina Subedi (https://instagram.com/_rubina22?igshid=YTQwZjQ0NmI0OA==)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Intro
1:40 Bysst Music
2:40 Nepal Army History
5:26 Nepal Army's Service to Nation
7:05 Tri Chandra Military Hospital
8:15 Developmental Contracts
11:20 Political Partnership
13:40 The Size of Nepal Army
15:00 Outro"
Worst Disaster on Sagarmatha,459149,2023-12-18,10738,169,"In May 1996, two expedition teams with journalists on their teams raced to summit Mount Everest. With massive publicity at stake, expedition leaders took unnecessary risks and attempted to climb Everest ""at any cost.  Despite warnings of an approaching storm, the teams moved forward, resulting in the loss of 8 climbers - one of the deadliest disasters in Everest's history. This tragic event highlighted the consequences of competition and commercialization in high-altitude mountaineering. Safety and good judgment can be compromised when the primary goal becomes reaching the summit regardless of the circumstances. The 1996 season on Everest serves as a cautionary tale of what can happen when the race to the top overrides all else.

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

DHI Happier Homes:-
https://www.dhi.com.np/ 

Use TNC_DHi as promocode to get 17% off in Medium Size Heater 
https://www.facebook.com/dhihomeappliances"
The Slow Death of the Bagmati River,310395,2023-12-12,9435,288,"The Bagmati River was once the pride of Kathmandu - a lifeline for agriculture, a source of spirituality and a centerpiece for Nepali culture. But over the past few decades, the river has become an open sewer, choked with trash and industrial waste. Despite billions spent by the government and campaigns led by citizens, the Bagmati remains beyond saving. How did this once sacred river become so polluted? And what does this say about Nepal's failed efforts at development, environmental protection and good governance? Tune in to hear the sad story of how the Bagmati River went from being the heart and soul of Kathmandu to a hopeless example of corruption and mismanagement.

Sources: https://docs.google.com/document/d/16izac5tRfOHVIoTgIRl5vk2SH04xnPHTJJ5Z2aR2prA/edit?usp=sharing

Jump Trailer: https://www.youtube.com/watch?v=SBHHRtqmI-E

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Parash Bikram Khadka (https://instagram.com/parashbikramk/)
Edited by:  Dungrey (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)"
Ticking Time Bomb of Nepal,279287,2023-12-05,10690,253,"Nepal is at a very big risk. The Himalayas that makes Nepal so beautiful and provides a major source of revenue via tourism also posses a massive threat like a ticking time bomb waiting to explode. These are called Glacier Lake Outburst Flood or GLOF, which can occur at any time. And Nepal has almost two dozen Glacier Lakes that could burst at any time. So, what are these GLOF, how do they occur, why are they so dangerous and can we actually do anything about it?

Sources: https://docs.google.com/document/d/1QHMTl5A3v0BmVFD-2sjWuaMKAM_HNgn0AQXAorJTzxQ/edit?usp=sharing
 
Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by: Rubina Subedi (https://instagram.com/_rubina22?igshid=YTQwZjQ0NmI0OA==)
Edited by:  Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)


Timestamp: 
0:00 Time Bomb
1:35 What is GLOF?
3:17 Past GLOF in Nepal
5:35 The Study of GLOF
6:05 The Inventory of GLOF
8:28 Risky GLOFs
11:10 Solution??
12:45 Outro"
Nepali Politicians are stealing from Public,237494,2023-11-30,9128,304,"Dive deep into the intricate web of Nepal's public procurement system as we unravel the reality behind why so many developmental project are neither completed in time nor of good standard. The Truth: There's a nexus of political leaders from every major parties colluding to extract ill-gotten gains from contractors, leading to a dire situation., one where they get rich but the project completely derails. This is how Nepali  Politicians Turned Government Contracts into Gold Mines.


Sources: https://docs.google.com/document/d/1UJsQIZ7_CCnR1He1EcW3V_8-RtN5SScoesuynXO83J8/edit?usp=sharing

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Parash Bikram Khadka 
https://instagram.com/parashbikramk/
Written by: Saugat Acharya(https://www.facebook.com/saugat.acharya.1004)
Edited by:  Dungrey (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp

0:00 Intro
1:04 The Tender
2:33 The Lawmakers
4:55 The Contractors
6:50 Tender Process
7:44 Failed Constructions
8:44 They are together
10:50 So what next"
The Hidden Secrets of Durga Prasai,859119,2023-11-25,29094,2207,"Durga Prasai claims to be leading a grassroots movement to restore monarchy in Nepal. Thousands have joined his protests, drawn by his charismatic speeches and promises of change. However, there are serious questions about Prasai's credibility and intentions. For decades, Prasai has been an active partner of the current government he now criticizes. There are also allegations of financial impropriety, corruption and fraud against Prasai himself. While many are inspired by Prasai's rhetoric, it is important to examine his background and motives critically to understand what his movement truly represents. At this stage, it remains unclear whether Prasai's movement will actually bring meaningful change for Nepal or simply serve his own ambitions and interests. Further transparency and scrutiny of Prasai and his movement are needed to determine its legitimacy and potential impact.

Source: https://docs.google.com/document/d/1iXw5F3sI_v1Qq6iBDqXD_jFy0lXhg8Si5xGmTVRAhd8/edit?usp=drivesdk

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]


Research by:
Rubina Subedi (https://instagram.com/_rubina22?igshid=YTQwZjQ0NmI0OA==)
Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)
Parash Bikram Khadka (https://instagram.com/parashbikramk/)
Bishwa Rai (https://www.instagram.com/bishwa546/)

Edited by: 
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Dungrey (https://www.instagram.com/khadka__ajay/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

0:00 Intro
1:40 Start of his campaign
3:45 backstory of Durga Prasai 
4:33 BNC hospital saga 
7:14 scandals and allegations
8:53 Conspiracy and reality of Durga Prasai (Bank & loan)
10:27 Dubai kings
11:19 Recent incidents 
14:49 Opinion"
"Nepal's Underworld: Fake Money, Murder, and the Geopolitical Game",302037,2023-11-16,10137,267,"Nepal has long been a hub for fake currency - specially for fake Indian Rupees. This illegal industry involves organized crime, corrupt officials, and even geopolitical tensions with India. But you've probably never heard about this! I did some serious digging to uncover the full scope of Nepal's role in the fake money industry. From the street gangs that traffic fake bills to the murders it's fueled, this secret black market economy shows a dark side of Nepal that the everybody desperately wants to keep quiet. Get ready to be shocked as I expose the truth about Nepal's counterfeit currency hub and the massive risks it poses. Let's go!

Sources: https://docs.google.com/document/d/1GplgNGG0FAFQ6o8JXnscKZAaNM-Wi7rnxKmI1NrKlQE/edit?usp=drivesdk

Let's connect :

If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]
If you are on Twitter: [https://twitter.com/NepaliComment]
If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Rubina Subedi (https://instagram.com/_rubina22?igshid=YTQwZjQ0NmI0OA==)

Written by: Bijay Sapkota (https://www.facebook.com/bijay.sapkota.71465)
Edited and Animation by:  Dungrey (https://www.instagram.com/khadka__ajay/)
Thumbnail by: Bipshon Nepali
((https://www.instagram.com/biphson_nepali/))"
Why Nepal might get hit by a Massive Earthquake Soon?,339179,2023-11-12,15789,355,"For nearly 500 years, the western region of Nepal has not experienced a major earthquake. However, geologists warn that the area is overdue for a massive quake that could cause significant damage and loss of life. According to experts, stress has been building up in the fault lines under western Nepal, putting the region at high risk of a catastrophic event. Despite these warnings, many Nepalis remain skeptical and unprepared. While some dismiss the warnings as a hoax, the scientific data shows that western Nepal could experience an earthquake magnitude 7.  or higher in the coming decades. With more than two-thirds of buildings in the region constructed of non-earthquake resistant materials, experts warn that the impact would be devastating without significant preparation and investment in disaster readiness. Nepali officials would be wise to take this threat seriously, inform and prepare citizens, and put measures in place to minimize damage and save lives when an earthquake does inevitably hit western Nepal.

Sources: https://docs.google.com/document/d/1BXM-pdMVnJRFQYS5kMG4ENg0Bs4msVvPJFOOSOTGjSk/edit?usp=sharing

If you are in need of a website or reliable hosting service, do check out : https://nestnepal.com/

More about Hami Nepal(for donation): https://www.instagram.com/haminepal_/

Safety Tips for Earthquake: 
https://www.ready.gov/earthquakes
https://www.cdc.gov/disasters/earthquakes/during.html#:~:text=Stay%20away%20from%20outer%20walls,and%20buildings%2C%20and%20stay%20there


Let's connect : 
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research and Written by: Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)

Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Timestamp:
0:00 Fundraise for Earthquake Victims
0:25 Intro
1:57 Nest Nepal
2:55 Earthquake 101
04:44 Historical Earthquakes
05:36 Massive Risk
07:31 Are we prepared?
08:15 Loss from 2072 Earthquake
9:16 Outro"
Biggest Upcoming Projects of Nepal,784238,2023-11-07,20291,1164,"From Nepal’s largest hydropower project to a 5.5 billion dollar railway project built underground and majority of which goes under the tunnel of 70KM. From an irrigation project for 1 lakh hectare agricultural land to a road that will shorten several hour long travel to a few minutes. These are some of the mega projects in Nepal that are either in Construction or will soon begin, that will change Nepal forever. 

Source: 
https://docs.google.com/document/d/1lBLY9lsFvvTgx772hCgd0moESvXqHuzWUffvwAm2yGs/edit?usp=sharing


Let's connect : 
If you are on Facebook: [https://www.facebook.com/dipesh.tripathi.35.]

If you are on Twitter: [https://twitter.com/NepaliComment]

If you are on Instagram: [https://www.instagram.com/dipesh.trip/]

Research by: Bishwa Rai (https://www.instagram.com/bishwa546/)

Written by: Saugat Acharya (https://www.facebook.com/saugat.acharya.1004)

Edited by: Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

Do check out Ultima for exclusive offers:

https://bit.ly/49rsURM.


Timestamp:
0:00 Intro
0:40 Budhi Gandaki Hydropower
3:45 Ultima Offer
4:59 Fast Track
7:15 Kathmandu-Kerung Railway
9:42 Sunkoshi Marin Diversion
12:00 Pokhara - Muktinath cable car"
